Type,SKU,Grouped products,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Meta: qty_required,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
simple,69A-43131-00-00,,"BOLT, CLAMP BRACKET",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,11227.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,90386-22MA4-00,,BUSH,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1207.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,69A-43113-00-00,,"PLATE, CLAMP BRACKET",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1852.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,90185-22043-00,,"NUT, SELF-LOCKING",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,3202.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,69G-43311-10-4D,,"BRACKET, SWIVEL 1",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,45187.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,97885-08010-00,,"SCREW, PAN HEAD",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,735.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,65W-43192-00-00,,"KNOB, STOPPER",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,870.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,65W-43191-00-00,,"SHAFT, STOPPER",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,2625.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,91690-30018-00,,"PIN, SPRING",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,847.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,90386-14MA1-00,,BUSH,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,630.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
